cantariam,cantar.V:C3p
cantaríeis,cantar.V:C2p
cantaríamos,cantar.V:C1p
cantarias,cantar.V:C2s
cantaria,cantar.V:C1s:C3s
cantai,cantar.V:Y2p
cantassem,cantar.V:T3p
cantásseis,cantar.V:T2p
cantássemos,cantar.V:T1p
cantasses,cantar.V:T2s
cantasse,cantar.V:T1s:T3s
cantem,cantar.V:S3p:Y3p
canteis,cantar.V:S2p
cantemos,cantar.V:S1p:Y1p
cantes,cantar.V:S2s
cante,cantar.V:S1s:S3s:Y3s
cantáreis,cantar.V:Q2p
cantáramos,cantar.V:Q1p
cantaras,cantar.V:Q2s
cantara,cantar.V:Q1s:Q3s
cantarão,cantar.V:F3p
cantareis,cantar.V:F2p
cantaremos,cantar.V:F1p
cantará,cantar.V:F3s
cantarás,cantar.V:F2s
cantarei,cantar.V:F1s
cantaram,cantar.V:J3p:Q3p
cantastes,cantar.V:J2p
cantou,cantar.V:J3s
cantaste,cantar.V:J2s
cantei,cantar.V:J1s
cantavam,cantar.V:I3p
cantáveis,cantar.V:I2p
cantávamos,cantar.V:I1p
cantavas,cantar.V:I2s
cantava,cantar.V:I1s:I3s
cantam,cantar.V:P3p
cantais,cantar.V:P2p
cantamos,cantar.V:P1p:J1p
canta,cantar.V:P3s:Y2s
cantas,cantar.V:P2s
canto,cantar.V:P1s
cantadas,cantar.V:K
cantados,cantar.V:K
cantada,cantar.V:K
cantado,cantar.V:K
cantando,cantar.V:G
cantarem,cantar.V:W3p:U3p
cantardes,cantar.V:W2p:U2p
cantarmos,cantar.V:W1p:U1p
cantares,cantar.V:W2s:U2s
cantar,cantar.V:W1s:W3s:U1s:U3s

abaciais,abacial.A:mp:fp

afoutariam,afoutar.V:C3p
